"","id_site","module_presentation","activity_type","week_from","week_to"
"157",546879,"AAA+2013J","subpage",NA,NA
"158",547028,"AAA+2013J","resource",NA,NA
"159",546672,"AAA+2013J","oucontent",NA,NA
"160",546924,"AAA+2013J","resource",NA,NA
"161",546703,"AAA+2013J","oucontent",NA,NA
"162",546989,"AAA+2013J","resource",NA,NA
"163",546873,"AAA+2013J","subpage",NA,NA
"164",547025,"AAA+2013J","resource",NA,NA
"165",546669,"AAA+2013J","oucontent",NA,NA
"166",546921,"AAA+2013J","resource",NA,NA
"167",546700,"AAA+2013J","oucontent",NA,NA
"168",546986,"AAA+2013J","resource",NA,NA
"169",546740,"AAA+2013J","oucontent",NA,NA
"170",547022,"AAA+2013J","resource",NA,NA
"171",546666,"AAA+2013J","oucontent",NA,NA
"172",546918,"AAA+2013J","resource",NA,NA
"173",546696,"AAA+2013J","oucontent",NA,NA
"174",546983,"AAA+2013J","resource",NA,NA
"175",546737,"AAA+2013J","oucontent",NA,NA
"176",547019,"AAA+2013J","resource",NA,NA
"177",546662,"AAA+2013J","oucontent",NA,NA
"178",546693,"AAA+2013J","oucontent",NA,NA
"179",546974,"AAA+2013J","resource",NA,NA
"180",546734,"AAA+2013J","oucontent",NA,NA
"181",547015,"AAA+2013J","resource",NA,NA
"182",546659,"AAA+2013J","forumng",NA,NA
"183",546915,"AAA+2013J","resource",NA,NA
"184",546690,"AAA+2013J","oucontent",NA,NA
"185",546970,"AAA+2013J","resource",NA,NA
"186",546731,"AAA+2013J","oucontent",NA,NA
"187",547012,"AAA+2013J","resource",NA,NA
"188",547067,"AAA+2013J","oucollaborate",NA,NA
"189",546656,"AAA+2013J","forumng",NA,NA
"190",546911,"AAA+2013J","resource",NA,NA
"191",546687,"AAA+2013J","oucontent",NA,NA
"192",546965,"AAA+2013J","resource",NA,NA
"193",546725,"AAA+2013J","oucontent",NA,NA
"194",547008,"AAA+2013J","resource",NA,NA
"195",547049,"AAA+2013J","dataplus",NA,NA
"196",546653,"AAA+2013J","forumng",NA,NA
"197",546907,"AAA+2013J","resource",NA,NA
"198",546955,"AAA+2013J","resource",NA,NA
"199",546719,"AAA+2013J","oucontent",1,1
"200",547005,"AAA+2013J","resource",NA,NA
"201",547043,"AAA+2013J","resource",NA,NA
"202",546650,"AAA+2013J","forumng",NA,NA
"203",546904,"AAA+2013J","url",NA,NA
"204",546684,"AAA+2013J","oucontent",NA,NA
"205",546949,"AAA+2013J","resource",NA,NA
"206",546715,"AAA+2013J","oucontent",NA,NA
"207",547002,"AAA+2013J","resource",NA,NA
"208",547038,"AAA+2013J","resource",NA,NA
"209",546647,"AAA+2013J","forumng",NA,NA
"210",546900,"AAA+2013J","url",NA,NA
"211",546681,"AAA+2013J","oucontent",1,1
"212",877162,"AAA+2014J","resource",NA,NA
"213",877223,"AAA+2014J","resource",NA,NA
"214",877032,"AAA+2014J","oucontent",NA,NA
"215",877263,"AAA+2014J","resource",NA,NA
"216",877064,"AAA+2014J","oucontent",NA,NA
"217",877098,"AAA+2014J","oucontent",NA,NA
"218",877157,"AAA+2014J","resource",NA,NA
"219",877220,"AAA+2014J","resource",NA,NA
"220",877029,"AAA+2014J","glossary",NA,NA
"221",877260,"AAA+2014J","resource",NA,NA
"222",877061,"AAA+2014J","oucontent",NA,NA
"223",1032910,"AAA+2014J","url",NA,NA
"224",877094,"AAA+2014J","oucontent",NA,NA
"225",877154,"AAA+2014J","resource",NA,NA
"226",877217,"AAA+2014J","resource",NA,NA
"227",877025,"AAA+2014J","forumng",NA,NA
"228",877256,"AAA+2014J","resource",NA,NA
"229",877058,"AAA+2014J","oucontent",NA,NA
"230",877423,"AAA+2014J","dataplus",NA,NA
"231",877091,"AAA+2014J","oucontent",NA,NA
"232",877151,"AAA+2014J","resource",NA,NA
"233",877214,"AAA+2014J","resource",NA,NA
"234",877012,"AAA+2014J","forumng",NA,NA
"235",877253,"AAA+2014J","resource",NA,NA
"236",877055,"AAA+2014J","oucontent",NA,NA
"237",877420,"AAA+2014J","dataplus",NA,NA
"238",877088,"AAA+2014J","oucontent",NA,NA
"239",877148,"AAA+2014J","resource",NA,NA
"240",877211,"AAA+2014J","resource",NA,NA
"241",877247,"AAA+2014J","resource",NA,NA
"242",877052,"AAA+2014J","oucontent",NA,NA
"243",877402,"AAA+2014J","url",NA,NA
"244",877085,"AAA+2014J","oucontent",NA,NA
"245",877145,"AAA+2014J","resource",NA,NA
"246",877208,"AAA+2014J","resource",NA,NA
"247",877244,"AAA+2014J","resource",NA,NA
"248",877049,"AAA+2014J","oucontent",NA,NA
"249",877397,"AAA+2014J","url",NA,NA
"250",877081,"AAA+2014J","oucontent",NA,NA
"251",877142,"AAA+2014J","resource",NA,NA
"252",877203,"AAA+2014J","resource",NA,NA
"253",877241,"AAA+2014J","resource",NA,NA
"254",877046,"AAA+2014J","oucontent",NA,NA
"255",877394,"AAA+2014J","url",NA,NA
"256",877078,"AAA+2014J","oucontent",NA,NA
"257",877197,"AAA+2014J","resource",NA,NA
"258",877237,"AAA+2014J","resource",NA,NA
"259",877043,"AAA+2014J","oucontent",NA,NA
"260",877387,"AAA+2014J","url",NA,NA
"261",877075,"AAA+2014J","oucontent",NA,NA
"262",877139,"AAA+2014J","resource",NA,NA
"263",877190,"AAA+2014J","resource",NA,NA
"264",877233,"AAA+2014J","resource",NA,NA
"265",877040,"AAA+2014J","oucontent",2,2
"266",877384,"AAA+2014J","url",NA,NA
"267",877072,"AAA+2014J","oucontent",NA,NA
"268",877135,"AAA+2014J","subpage",NA,NA
"269",877184,"AAA+2014J","resource",NA,NA
"270",877229,"AAA+2014J","resource",NA,NA
"271",877037,"AAA+2014J","oucontent",NA,NA
"272",877380,"AAA+2014J","oucollaborate",NA,NA
"273",877069,"AAA+2014J","oucontent",NA,NA
"274",877132,"AAA+2014J","subpage",NA,NA
"275",877172,"AAA+2014J","resource",NA,NA
"276",877225,"AAA+2014J","resource",NA,NA
"277",877034,"AAA+2014J","oucontent",NA,NA
"278",877265,"AAA+2014J","resource",NA,NA
"279",877066,"AAA+2014J","oucontent",NA,NA
"280",877100,"AAA+2014J","oucontent",NA,NA
"281",877159,"AAA+2014J","resource",NA,NA
"282",877222,"AAA+2014J","resource",NA,NA
"283",877031,"AAA+2014J","oucontent",NA,NA
"284",877262,"AAA+2014J","resource",NA,NA
"285",877063,"AAA+2014J","oucontent",NA,NA
"286",1072237,"AAA+2014J","url",NA,NA
"287",877096,"AAA+2014J","oucontent",NA,NA
"288",877156,"AAA+2014J","resource",NA,NA
"289",877219,"AAA+2014J","resource",NA,NA
"290",877028,"AAA+2014J","glossary",NA,NA
"291",877259,"AAA+2014J","resource",NA,NA
"292",877060,"AAA+2014J","oucontent",NA,NA
"293",1027118,"AAA+2014J","url",NA,NA
"294",877093,"AAA+2014J","oucontent",NA,NA
"295",877153,"AAA+2014J","resource",NA,NA
"296",877216,"AAA+2014J","resource",NA,NA
"297",877023,"AAA+2014J","forumng",NA,NA
"298",877255,"AAA+2014J","resource",NA,NA
"299",877057,"AAA+2014J","oucontent",NA,NA
"300",877422,"AAA+2014J","dataplus",NA,NA
"301",877090,"AAA+2014J","oucontent",NA,NA
"302",877150,"AAA+2014J","resource",NA,NA
"303",877213,"AAA+2014J","resource",NA,NA
"304",877011,"AAA+2014J","forumng",NA,NA
"305",877252,"AAA+2014J","resource",NA,NA
"306",877054,"AAA+2014J","oucontent",NA,NA
"307",877404,"AAA+2014J","url",NA,NA
"308",877087,"AAA+2014J","oucontent",NA,NA
"309",877147,"AAA+2014J","resource",NA,NA
"310",877210,"AAA+2014J","resource",NA,NA
"311",877246,"AAA+2014J","resource",NA,NA
"312",877051,"AAA+2014J","oucontent",NA,NA
"313",877399,"AAA+2014J","url",NA,NA
"314",877084,"AAA+2014J","oucontent",NA,NA
"315",877144,"AAA+2014J","resource",NA,NA
"316",877207,"AAA+2014J","resource",NA,NA
"317",877243,"AAA+2014J","resource",NA,NA
"318",877048,"AAA+2014J","oucontent",NA,NA
"319",877396,"AAA+2014J","url",NA,NA
"320",877080,"AAA+2014J","oucontent",NA,NA
"321",877141,"AAA+2014J","resource",NA,NA
"322",877199,"AAA+2014J","resource",NA,NA
"323",877240,"AAA+2014J","resource",NA,NA
"324",877045,"AAA+2014J","oucontent",1,1
"325",877393,"AAA+2014J","url",NA,NA
"326",877077,"AAA+2014J","oucontent",NA,NA
"327",877196,"AAA+2014J","resource",NA,NA
"328",877236,"AAA+2014J","resource",NA,NA
"329",877042,"AAA+2014J","oucontent",NA,NA
"330",877386,"AAA+2014J","url",NA,NA
"331",877074,"AAA+2014J","oucontent",NA,NA
"332",877138,"AAA+2014J","resource",NA,NA
"333",877187,"AAA+2014J","resource",NA,NA
"334",877231,"AAA+2014J","resource",NA,NA
"335",877039,"AAA+2014J","oucontent",NA,NA
"336",877383,"AAA+2014J","url",NA,NA
"337",877071,"AAA+2014J","oucontent",NA,NA
"338",877134,"AAA+2014J","subpage",NA,NA
"339",877182,"AAA+2014J","resource",NA,NA
"340",877228,"AAA+2014J","resource",NA,NA
"341",877036,"AAA+2014J","oucontent",NA,NA
"342",877379,"AAA+2014J","oucollaborate",NA,NA
"343",877068,"AAA+2014J","oucontent",NA,NA
"344",877129,"AAA+2014J","subpage",NA,NA
"345",877168,"AAA+2014J","resource",NA,NA
"346",877224,"AAA+2014J","resource",NA,NA
"347",877033,"AAA+2014J","oucontent",NA,NA
"348",877264,"AAA+2014J","resource",NA,NA
"349",877065,"AAA+2014J","oucontent",NA,NA
"350",877099,"AAA+2014J","oucontent",NA,NA
"351",877158,"AAA+2014J","resource",NA,NA
"352",877221,"AAA+2014J","resource",NA,NA
"353",877030,"AAA+2014J","homepage",NA,NA
"354",877261,"AAA+2014J","resource",NA,NA
"355",877062,"AAA+2014J","oucontent",NA,NA
"356",1072236,"AAA+2014J","resource",NA,NA
"357",877095,"AAA+2014J","oucontent",NA,NA
"358",877155,"AAA+2014J","resource",NA,NA
"359",877218,"AAA+2014J","resource",NA,NA
"360",877026,"AAA+2014J","forumng",NA,NA
"361",877258,"AAA+2014J","resource",NA,NA
"362",877059,"AAA+2014J","oucontent",NA,NA
"363",1010323,"AAA+2014J","resource",NA,NA
"364",877092,"AAA+2014J","oucontent",NA,NA
"365",877152,"AAA+2014J","resource",NA,NA
"366",877215,"AAA+2014J","resource",NA,NA
"367",877015,"AAA+2014J","forumng",NA,NA
"368",877254,"AAA+2014J","resource",NA,NA
"369",877056,"AAA+2014J","oucontent",NA,NA
"370",877421,"AAA+2014J","dataplus",NA,NA
"371",877089,"AAA+2014J","oucontent",NA,NA
"372",877149,"AAA+2014J","resource",NA,NA
"373",877212,"AAA+2014J","resource",NA,NA
"374",877248,"AAA+2014J","resource",NA,NA
"375",877053,"AAA+2014J","oucontent",NA,NA
"376",877403,"AAA+2014J","url",NA,NA
"377",877086,"AAA+2014J","oucontent",NA,NA
"378",877146,"AAA+2014J","resource",NA,NA
"379",877209,"AAA+2014J","resource",NA,NA
"380",877245,"AAA+2014J","resource",NA,NA
"381",877050,"AAA+2014J","oucontent",NA,NA
"382",877398,"AAA+2014J","url",NA,NA
"383",877082,"AAA+2014J","oucontent",NA,NA
"384",877143,"AAA+2014J","resource",NA,NA
"385",877206,"AAA+2014J","resource",NA,NA
"386",877242,"AAA+2014J","resource",NA,NA
"387",877047,"AAA+2014J","oucontent",NA,NA
"388",877395,"AAA+2014J","url",NA,NA
"389",877079,"AAA+2014J","oucontent",NA,NA
"390",877198,"AAA+2014J","resource",NA,NA
"391",877238,"AAA+2014J","resource",NA,NA
"392",877044,"AAA+2014J","oucontent",1,1
"393",877392,"AAA+2014J","url",NA,NA
"394",877076,"AAA+2014J","oucontent",NA,NA
"395",877140,"AAA+2014J","resource",NA,NA
"396",877195,"AAA+2014J","resource",NA,NA
"397",877234,"AAA+2014J","resource",NA,NA
"398",877041,"AAA+2014J","oucontent",NA,NA
"399",877385,"AAA+2014J","url",NA,NA
"400",877073,"AAA+2014J","oucontent",NA,NA
"401",877137,"AAA+2014J","resource",NA,NA
"402",877186,"AAA+2014J","resource",NA,NA
"403",877230,"AAA+2014J","resource",NA,NA
"404",877038,"AAA+2014J","oucontent",NA,NA
"405",877381,"AAA+2014J","url",NA,NA
"406",877070,"AAA+2014J","oucontent",NA,NA
"407",877133,"AAA+2014J","subpage",NA,NA
"408",877180,"AAA+2014J","resource",NA,NA
"409",877227,"AAA+2014J","resource",NA,NA
"410",877035,"AAA+2014J","oucontent",NA,NA
"411",877266,"AAA+2014J","resource",NA,NA
"412",877067,"AAA+2014J","oucontent",NA,NA
"413",877128,"AAA+2014J","subpage",NA,NA
"414",543306,"BBB+2013B","resource",NA,NA
"415",542803,"BBB+2013B","forumng",NA,NA
"416",543170,"BBB+2013B","resource",NA,NA
"417",543040,"BBB+2013B","subpage",NA,NA
"418",543202,"BBB+2013B","resource",NA,NA
"419",543074,"BBB+2013B","subpage",NA,NA
"420",543236,"BBB+2013B","resource",NA,NA
"421",543106,"BBB+2013B","resource",NA,NA
"422",543274,"BBB+2013B","resource",NA,NA
"423",543138,"BBB+2013B","resource",NA,NA
"424",542799,"BBB+2013B","forumng",NA,NA
"425",543167,"BBB+2013B","resource",NA,NA
"426",543037,"BBB+2013B","url",NA,NA
"427",543199,"BBB+2013B","resource",NA,NA
"428",543071,"BBB+2013B","subpage",NA,NA
"429",543233,"BBB+2013B","resource",NA,NA
"430",543103,"BBB+2013B","resource",NA,NA
"431",543271,"BBB+2013B","resource",NA,NA
"432",543135,"BBB+2013B","resource",NA,NA
"433",543303,"BBB+2013B","resource",NA,NA
"434",542796,"BBB+2013B","forumng",NA,NA
"435",543164,"BBB+2013B","resource",NA,NA
"436",543031,"BBB+2013B","url",NA,NA
"437",543196,"BBB+2013B","resource",NA,NA
"438",543067,"BBB+2013B","subpage",NA,NA
"439",543230,"BBB+2013B","resource",NA,NA
"440",543100,"BBB+2013B","resource",NA,NA
"441",543268,"BBB+2013B","resource",NA,NA
"442",543132,"BBB+2013B","resource",NA,NA
"443",543300,"BBB+2013B","resource",NA,NA
"444",542792,"BBB+2013B","forumng",NA,NA
"445",543161,"BBB+2013B","resource",NA,NA
"446",543027,"BBB+2013B","url",NA,NA
"447",543193,"BBB+2013B","resource",NA,NA
"448",543063,"BBB+2013B","subpage",NA,NA
"449",543227,"BBB+2013B","resource",NA,NA
"450",543097,"BBB+2013B","resource",NA,NA
"451",543259,"BBB+2013B","resource",NA,NA
"452",543265,"BBB+2013B","resource",NA,NA
"453",543129,"BBB+2013B","resource",NA,NA
"454",543297,"BBB+2013B","resource",NA,NA
"455",543158,"BBB+2013B","resource",NA,NA
"456",543024,"BBB+2013B","url",NA,NA
"457",543190,"BBB+2013B","resource",NA,NA
"458",543060,"BBB+2013B","subpage",NA,NA
"459",543224,"BBB+2013B","resource",NA,NA
"460",543094,"BBB+2013B","resource",NA,NA
"461",543256,"BBB+2013B","resource",NA,NA
"462",543262,"BBB+2013B","resource",NA,NA
"463",543126,"BBB+2013B","resource",NA,NA
"464",543294,"BBB+2013B","resource",NA,NA
"465",543155,"BBB+2013B","resource",NA,NA
"466",543021,"BBB+2013B","url",NA,NA
"467",543187,"BBB+2013B","resource",NA,NA
"468",543057,"BBB+2013B","subpage",NA,NA
"469",543221,"BBB+2013B","resource",NA,NA
"470",543091,"BBB+2013B","resource",NA,NA
"471",543253,"BBB+2013B","resource",NA,NA
"472",543123,"BBB+2013B","resource",NA,NA
"473",543291,"BBB+2013B","resource",NA,NA
"474",543152,"BBB+2013B","resource",NA,NA
"475",542894,"BBB+2013B","quiz",NA,NA
"476",543184,"BBB+2013B","resource",NA,NA
"477",543054,"BBB+2013B","subpage",NA,NA
"478",543217,"BBB+2013B","resource",NA,NA
"479",543088,"BBB+2013B","resource",NA,NA
"480",543250,"BBB+2013B","resource",NA,NA
"481",543120,"BBB+2013B","resource",NA,NA
"482",543288,"BBB+2013B","resource",NA,NA
"483",543324,"BBB+2013B","ouelluminate",NA,NA
"484",542891,"BBB+2013B","quiz",NA,NA
"485",543181,"BBB+2013B","resource",NA,NA
"486",543051,"BBB+2013B","subpage",NA,NA
"487",543213,"BBB+2013B","resource",NA,NA
"488",543085,"BBB+2013B","resource",NA,NA
"489",543247,"BBB+2013B","resource",NA,NA
"490",543117,"BBB+2013B","resource",NA,NA
"491",543285,"BBB+2013B","resource",NA,NA
"492",543149,"BBB+2013B","resource",NA,NA
"493",543314,"BBB+2013B","resource",NA,NA
"494",542812,"BBB+2013B","glossary",NA,NA
"495",543178,"BBB+2013B","resource",NA,NA
"496",543048,"BBB+2013B","subpage",NA,NA
"497",543210,"BBB+2013B","resource",NA,NA
"498",543082,"BBB+2013B","resource",NA,NA
"499",543244,"BBB+2013B","resource",NA,NA
"500",543114,"BBB+2013B","resource",NA,NA
"501",543282,"BBB+2013B","resource",NA,NA
"502",543146,"BBB+2013B","resource",NA,NA
"503",543311,"BBB+2013B","resource",NA,NA
"504",542808,"BBB+2013B","forumng",NA,NA
"505",543175,"BBB+2013B","resource",NA,NA
"506",543045,"BBB+2013B","subpage",NA,NA
"507",543207,"BBB+2013B","resource",NA,NA
"508",543079,"BBB+2013B","resource",NA,NA
"509",543241,"BBB+2013B","resource",NA,NA
"510",543111,"BBB+2013B","resource",NA,NA
"511",543279,"BBB+2013B","resource",NA,NA
"512",543143,"BBB+2013B","resource",NA,NA
"513",543308,"BBB+2013B","resource",NA,NA
"514",542805,"BBB+2013B","forumng",NA,NA
"515",543172,"BBB+2013B","resource",NA,NA
"516",543042,"BBB+2013B","subpage",NA,NA
"517",543204,"BBB+2013B","resource",NA,NA
"518",543076,"BBB+2013B","subpage",NA,NA
"519",543238,"BBB+2013B","resource",NA,NA
"520",543108,"BBB+2013B","resource",NA,NA
"521",543276,"BBB+2013B","resource",NA,NA
"522",543140,"BBB+2013B","resource",NA,NA
"523",542802,"BBB+2013B","forumng",NA,NA
"524",543169,"BBB+2013B","resource",NA,NA
"525",543039,"BBB+2013B","subpage",NA,NA
"526",543201,"BBB+2013B","resource",NA,NA
"527",543073,"BBB+2013B","subpage",NA,NA
"528",543235,"BBB+2013B","resource",NA,NA
"529",543105,"BBB+2013B","resource",NA,NA
"530",543273,"BBB+2013B","resource",NA,NA
"531",543137,"BBB+2013B","resource",NA,NA
"532",543305,"BBB+2013B","resource",NA,NA
"533",542798,"BBB+2013B","forumng",NA,NA
"534",543166,"BBB+2013B","resource",NA,NA
"535",543036,"BBB+2013B","url",NA,NA
"536",543198,"BBB+2013B","resource",NA,NA
"537",543069,"BBB+2013B","subpage",NA,NA
"538",543232,"BBB+2013B","resource",NA,NA
"539",543102,"BBB+2013B","resource",NA,NA
"540",543270,"BBB+2013B","resource",NA,NA
"541",543134,"BBB+2013B","resource",NA,NA
"542",543302,"BBB+2013B","resource",NA,NA
"543",542795,"BBB+2013B","forumng",NA,NA
"544",543163,"BBB+2013B","resource",NA,NA
"545",543029,"BBB+2013B","url",NA,NA
"546",543195,"BBB+2013B","resource",NA,NA
"547",543066,"BBB+2013B","subpage",NA,NA
"548",543229,"BBB+2013B","resource",NA,NA
"549",543099,"BBB+2013B","resource",NA,NA
"550",543261,"BBB+2013B","resource",NA,NA
"551",543267,"BBB+2013B","resource",NA,NA
"552",543131,"BBB+2013B","resource",NA,NA
"553",543299,"BBB+2013B","resource",NA,NA
"554",543160,"BBB+2013B","resource",NA,NA
"555",543026,"BBB+2013B","url",NA,NA
"556",543192,"BBB+2013B","resource",NA,NA
"557",543062,"BBB+2013B","subpage",NA,NA
"558",543226,"BBB+2013B","resource",NA,NA
"559",543096,"BBB+2013B","resource",NA,NA
"560",543258,"BBB+2013B","resource",NA,NA
"561",543264,"BBB+2013B","resource",NA,NA
"562",543128,"BBB+2013B","resource",NA,NA
"563",543296,"BBB+2013B","resource",NA,NA
"564",543157,"BBB+2013B","resource",NA,NA
"565",543023,"BBB+2013B","url",NA,NA
"566",543189,"BBB+2013B","resource",NA,NA
"567",543059,"BBB+2013B","subpage",NA,NA
