"","code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"20473","EEE","2014B",329455,"M","London Region","Post Graduate Qualification","20-30%","35-55",0,30,"N","Distinction"
"19291","DDD","2014J",2418277,"M","East Midlands Region","HE Qualification","90-100%","35-55",0,60,"N","Pass"
"28825","FFF","2014J",647910,"F","Yorkshire Region","A Level or Equivalent","10-20","0-35",0,120,"N","Fail"
"16678","DDD","2014B",531243,"M","South East Region","HE Qualification","80-90%","0-35",0,60,"N","Withdrawn"
"8469","BBB","2014J",699435,"F","East Midlands Region","HE Qualification","70-80%","0-35",0,120,"N","Pass"
"13775","DDD","2013B",532067,"F","North Western Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Withdrawn"
"41","AAA","2013J",127582,"F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,180,"N","Pass"
"31151","GGG","2014B",548578,"F","South West Region","No Formal quals","30-40%","0-35",0,90,"N","Fail"
"14426","DDD","2013J",59275,"M","Scotland","HE Qualification","40-50%","0-35",0,60,"N","Fail"
"24892","FFF","2013J",572589,"F","East Midlands Region","Lower Than A Level","50-60%","0-35",0,60,"N","Withdrawn"
"7391","BBB","2014J",647056,"M","London Region","Lower Than A Level","30-40%","35-55",0,60,"N","Pass"
"23056","FFF","2013B",528713,"M","London Region","Lower Than A Level","0-10%","0-35",0,60,"N","Withdrawn"
"7284","BBB","2014J",640330,"M","South Region","Lower Than A Level","70-80%","55<=",0,60,"N","Withdrawn"
"15966","DDD","2013J",604281,"F","London Region","HE Qualification","20-30%","0-35",0,60,"N","Distinction"
"11014","CCC","2014J",474495,"M","South West Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Distinction"
"27371","FFF","2014B",630804,"M","Yorkshire Region","Lower Than A Level","20-30%","0-35",0,120,"N","Withdrawn"
"18888","DDD","2014J",681425,"M","West Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass"
"6742","BBB","2014J",523831,"F","West Midlands Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Withdrawn"
"28502","FFF","2014J",627379,"M","London Region","Lower Than A Level","30-40%","0-35",1,90,"N","Withdrawn"
"31783","GGG","2014B",634530,"F","East Midlands Region","Lower Than A Level","40-50%","0-35",0,30,"N","Pass"
"25759","FFF","2013J",604184,"M","East Midlands Region","A Level or Equivalent","10-20","0-35",0,120,"N","Pass"
"25328","FFF","2013J",589843,"M","London Region","Lower Than A Level","30-40%","0-35",0,60,"N","Fail"
"11473","CCC","2014J",577279,"M","East Anglian Region","HE Qualification","60-70%","35-55",0,60,"N","Distinction"
"8566","BBB","2014J",2292824,"M","South Region","Lower Than A Level","60-70%","0-35",0,60,"N","Withdrawn"
"10034","CCC","2014B",623619,"F","East Midlands Region","Lower Than A Level","50-60%","35-55",0,90,"N","Withdrawn"
"22513","FFF","2013B",331883,"M","Ireland","A Level or Equivalent","80-90%","0-35",2,120,"N","Pass"
"10274","CCC","2014B",632691,"M","South Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Withdrawn"
"20996","EEE","2014B",632329,"M","London Region","No Formal quals","10-20","35-55",0,30,"N","Withdrawn"
"12301","CCC","2014J",649816,"M","South Region","Post Graduate Qualification","90-100%","35-55",0,75,"N","Fail"
"18501","DDD","2014J",644409,"M","Yorkshire Region","Lower Than A Level","20-30%","35-55",0,120,"N","Pass"
"6134","BBB","2014B",633560,"F","South West Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Distinction"
"30591","GGG","2013J",591819,"F","East Anglian Region","Lower Than A Level","50-60%","35-55",0,30,"N","Fail"
"755","BBB","2013B",34229,"F","Ireland","A Level or Equivalent","0-10%","35-55",2,120,"N","Pass"
"6553","BBB","2014J",363213,"M","Scotland","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass"
"21812","EEE","2014J",654579,"F","Scotland","A Level or Equivalent","40-50%","0-35",0,60,"N","Withdrawn"
"32022","GGG","2014J",634785,"F","London Region","Post Graduate Qualification","20-30%","35-55",0,30,"N","Withdrawn"
"29785","FFF","2014J",696043,"F","South East Region","Lower Than A Level","60-70%","0-35",0,120,"Y","Distinction"
"31648","GGG","2014B",630203,"F","South East Region","Lower Than A Level","30-40%","0-35",0,30,"N","Withdrawn"
"25582","FFF","2013J",598077,"M","Wales","Lower Than A Level","80-90%","0-35",0,60,"N","Pass"
"27161","FFF","2014B",624946,"M","North Region","Lower Than A Level","","0-35",0,120,"N","Pass"
"7127","BBB","2014J",615263,"F","South East Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Withdrawn"
"26915","FFF","2014B",612543,"F","South Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass"
"9640","CCC","2014B",588524,"M","Scotland","HE Qualification","70-80%","0-35",0,60,"N","Pass"
"28528","FFF","2014J",630158,"M","North Western Region","Lower Than A Level","30-40%","0-35",0,60,"N","Pass"
"19742","EEE","2013J",560924,"M","South West Region","Lower Than A Level","30-40%","0-35",0,60,"N","Withdrawn"
"3980","BBB","2013J",592618,"F","North Western Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Pass"
"29343","FFF","2014J",679949,"F","South Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Fail"
"14457","DDD","2013J",104643,"F","South West Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass"
"9326","CCC","2014B",543678,"M","London Region","A Level or Equivalent","0-10%","0-35",0,90,"N","Pass"
"3230","BBB","2013J",532750,"F","London Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Distinction"
"29760","FFF","2014J",695169,"M","West Midlands Region","A Level or Equivalent","80-90%","0-35",0,120,"N","Pass"
"5603","BBB","2014B",615218,"F","North Western Region","Lower Than A Level","10-20","0-35",0,60,"Y","Fail"
"26510","FFF","2014B",495618,"M","South Region","Lower Than A Level","80-90%","0-35",0,90,"N","Withdrawn"
"9693","CCC","2014B",592976,"M","West Midlands Region","HE Qualification","60-70%","35-55",0,60,"N","Distinction"
"20960","EEE","2014B",630086,"M","Scotland","HE Qualification","60-70%","0-35",0,60,"N","Pass"
"20167","EEE","2013J",599942,"M","Wales","A Level or Equivalent","0-10%","0-35",0,60,"N","Withdrawn"
"14403","DDD","2013J",31269,"F","East Midlands Region","A Level or Equivalent","30-40%","35-55",0,120,"N","Withdrawn"
"24215","FFF","2013J",359149,"M","East Midlands Region","Lower Than A Level","50-60%","35-55",0,60,"N","Withdrawn"
"31734","GGG","2014B",633464,"M","South East Region","Lower Than A Level","90-100%","0-35",0,30,"N","Distinction"
"10106","CCC","2014B",626516,"M","East Midlands Region","Lower Than A Level","60-70%","35-55",0,60,"N","Fail"
"5967","BBB","2014B",628616,"F","East Midlands Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Distinction"
"9301","CCC","2014B",536536,"M","North Region","Lower Than A Level","","0-35",0,60,"N","Withdrawn"
"12453","CCC","2014J",675383,"M","South Region","Lower Than A Level","70-80%","0-35",0,90,"N","Distinction"
"7816","BBB","2014J",677462,"F","Scotland","A Level or Equivalent","0-10%","35-55",0,120,"N","Pass"
"25651","FFF","2013J",600542,"M","Ireland","A Level or Equivalent","10-20","0-35",0,90,"N","Pass"
"11338","CCC","2014J",561113,"F","West Midlands Region","Lower Than A Level","20-30%","0-35",0,120,"N","Withdrawn"
"15538","DDD","2013J",579470,"M","Scotland","A Level or Equivalent","10-20","0-35",0,90,"N","Fail"
"1386","BBB","2013B",506233,"F","South West Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass"
"10476","CCC","2014B",2202076,"M","Ireland","Lower Than A Level","70-80%","0-35",0,90,"N","Withdrawn"
"21090","EEE","2014B",2434339,"M","South West Region","A Level or Equivalent","40-50%","35-55",1,135,"N","Distinction"
"18762","DDD","2014J",674278,"F","Scotland","HE Qualification","50-60%","0-35",0,60,"N","Fail"
"31446","GGG","2014B",621676,"F","East Midlands Region","A Level or Equivalent","0-10%","35-55",0,30,"N","Withdrawn"
"28799","FFF","2014J",647169,"M","Yorkshire Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Distinction"
"20428","EEE","2014B",128971,"M","East Midlands Region","HE Qualification","80-90%","0-35",0,30,"N","Pass"
"26836","FFF","2014B",603319,"M","North Region","HE Qualification","","0-35",0,60,"N","Withdrawn"
"686","AAA","2014J",2240349,"M","South West Region","Lower Than A Level","20-30%","35-55",0,60,"N","Pass"
"12049","CCC","2014J",632134,"M","Yorkshire Region","A Level or Equivalent","30-40%","35-55",1,30,"N","Fail"
"22462","FFF","2013B",277044,"M","London Region","Lower Than A Level","90-100%","35-55",0,60,"N","Distinction"
"15150","DDD","2013J",535632,"F","North Western Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Fail"
"15670","DDD","2013J",588293,"M","West Midlands Region","Lower Than A Level","20-30%","35-55",0,60,"N","Pass"
"5027","BBB","2014B",446650,"M","London Region","A Level or Equivalent","10-20","0-35",0,120,"N","Pass"
"16104","DDD","2013J",1375851,"M","London Region","HE Qualification","50-60%","55<=",0,150,"N","Pass"
"15214","DDD","2013J",549601,"M","West Midlands Region","Lower Than A Level","20-30%","35-55",0,60,"Y","Withdrawn"
"22771","FFF","2013B",476845,"M","London Region","HE Qualification","70-80%","0-35",0,60,"N","Pass"
"25423","FFF","2013J",593272,"F","London Region","A Level or Equivalent","10-20","35-55",0,60,"N","Distinction"
"16152","DDD","2013J",1894634,"M","London Region","HE Qualification","0-10%","35-55",1,180,"Y","Pass"
"7281","BBB","2014J",640265,"F","South East Region","A Level or Equivalent","60-70%","35-55",0,180,"N","Withdrawn"
"25559","FFF","2013J",597241,"M","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Distinction"
"4715","BBB","2013J",2567158,"F","West Midlands Region","A Level or Equivalent","50-60%","35-55",0,180,"N","Pass"
"14215","DDD","2013B",1651198,"F","London Region","HE Qualification","0-10%","35-55",1,150,"N","Pass"
"29149","FFF","2014J",656599,"M","West Midlands Region","Lower Than A Level","20-30%","0-35",0,120,"N","Withdrawn"
"14287","DDD","2013B",2350300,"F","South Region","A Level or Equivalent","80-90%","0-35",1,120,"Y","Fail"
"151","AAA","2013J",324282,"M","South East Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass"
"23194","FFF","2013B",536591,"M","East Anglian Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Fail"
"9830","CCC","2014B",606025,"M","North Western Region","Lower Than A Level","0-10%","0-35",0,60,"N","Withdrawn"
"24558","FFF","2013J",527775,"F","Scotland","HE Qualification","10-20","0-35",1,60,"N","Fail"
"23295","FFF","2013B",543295,"M","Wales","HE Qualification","30-40%","0-35",0,60,"N","Fail"
"2208","BBB","2013B",557220,"F","Wales","Lower Than A Level","0-10%","0-35",0,60,"N","Pass"
"15751","DDD","2013J",592382,"M","Ireland","Lower Than A Level","","35-55",0,60,"N","Pass"
"14491","DDD","2013J",144895,"M","East Anglian Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass"
"27050","FFF","2014B",619205,"M","East Anglian Region","Lower Than A Level","60-70%","0-35",0,60,"N","Withdrawn"
"17413","DDD","2014B",1531649,"F","Scotland","HE Qualification","40-50%","35-55",0,60,"Y","Withdrawn"
"8518","BBB","2014J",1929491,"F","East Midlands Region","HE Qualification","20-30%","35-55",0,60,"N","Withdrawn"
"12048","CCC","2014J",632083,"M","West Midlands Region","A Level or Equivalent","80-90%","35-55",0,30,"N","Pass"
"23832","FFF","2013B",2375526,"M","Yorkshire Region","Lower Than A Level","10-20","0-35",0,120,"N","Fail"
"16160","DDD","2013J",1982833,"M","Wales","HE Qualification","80-90%","35-55",0,60,"N","Fail"
"11029","CCC","2014J",479649,"M","South Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Withdrawn"
"7735","BBB","2014J",657290,"F","Yorkshire Region","Lower Than A Level","20-30%","0-35",0,60,"N","Pass"
"24395","FFF","2013J",484312,"M","London Region","A Level or Equivalent","0-10%","0-35",1,90,"N","Fail"
"1956","BBB","2013B",548921,"F","South West Region","Lower Than A Level","50-60%","0-35",0,60,"N","Pass"
"24556","FFF","2013J",527619,"M","Ireland","A Level or Equivalent","80-90%","0-35",0,120,"Y","Withdrawn"
"5358","BBB","2014B",582742,"F","West Midlands Region","Lower Than A Level","20-30%","0-35",0,120,"N","Fail"
"22268","EEE","2014J",2437591,"M","East Anglian Region","Lower Than A Level","30-40%","0-35",0,90,"N","Distinction"
"20477","EEE","2014B",342957,"M","Scotland","Lower Than A Level","80-90%","0-35",0,60,"N","Pass"
"13651","DDD","2013B",507730,"M","London Region","Lower Than A Level","20-30%","0-35",0,60,"N","Fail"
"17369","DDD","2014B",633591,"F","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Pass"
"6183","BBB","2014B",635113,"F","South Region","Lower Than A Level","80-90%","0-35",0,60,"N","Pass"
"31542","GGG","2014B",626092,"F","West Midlands Region","Lower Than A Level","0-10%","35-55",0,30,"N","Fail"
"17370","DDD","2014B",633618,"M","West Midlands Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Withdrawn"
"4233","BBB","2013J",601635,"M","South East Region","HE Qualification","70-80%","0-35",0,60,"N","Pass"
"27079","FFF","2014B",621464,"M","North Western Region","A Level or Equivalent","20-30%","0-35",0,120,"N","Fail"
"26338","FFF","2014B",327616,"M","North Region","A Level or Equivalent","10-20","0-35",0,90,"N","Pass"
"17968","DDD","2014J",520349,"M","South Region","Lower Than A Level","70-80%","0-35",2,60,"N","Pass"
"21069","EEE","2014B",1861830,"M","South West Region","Lower Than A Level","50-60%","35-55",1,70,"N","Pass"
"31827","GGG","2014B",2445562,"M","North Western Region","A Level or Equivalent","0-10%","35-55",0,120,"Y","Pass"
"7864","BBB","2014J",678702,"F","South East Region","Lower Than A Level","40-50%","0-35",0,60,"Y","Withdrawn"
"28660","FFF","2014J",641309,"M","West Midlands Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Pass"
"30575","GGG","2013J",591179,"M","South Region","Lower Than A Level","60-70%","0-35",0,30,"N","Distinction"
"26663","FFF","2014B",564632,"F","London Region","Lower Than A Level","10-20","0-35",0,60,"N","Fail"
"10436","CCC","2014B",1947911,"F","South Region","HE Qualification","90-100%","35-55",0,60,"N","Withdrawn"
"9985","CCC","2014B",620266,"M","Scotland","A Level or Equivalent","60-70%","0-35",0,60,"N","Fail"
"4776","BBB","2014B",93925,"F","East Anglian Region","Lower Than A Level","70-80%","0-35",0,60,"N","Withdrawn"
"15646","DDD","2013J",586800,"M","East Anglian Region","HE Qualification","80-90%","35-55",0,60,"N","Distinction"
"30302","GGG","2013J",571768,"F","East Midlands Region","A Level or Equivalent","20-30%","0-35",0,30,"N","Fail"
"6644","BBB","2014J",474408,"F","London Region","Lower Than A Level","20-30%","35-55",0,120,"Y","Pass"
"985","BBB","2013B",353093,"F","Wales","Lower Than A Level","70-80%","35-55",0,60,"N","Pass"
"26384","FFF","2014B",383921,"M","North Western Region","A Level or Equivalent","50-60%","0-35",1,60,"N","Fail"
"24920","FFF","2013J",573674,"M","Ireland","A Level or Equivalent","10-20","0-35",0,60,"N","Fail"
"23862","FFF","2013B",2522335,"M","Scotland","A Level or Equivalent","80-90%","0-35",1,60,"N","Distinction"
"18891","DDD","2014J",681528,"M","South West Region","A Level or Equivalent","10-20","0-35",0,120,"N","Fail"
"11184","CCC","2014J",524431,"F","South Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Withdrawn"
"11284","CCC","2014J",551220,"M","North Region","HE Qualification","","0-35",0,120,"N","Fail"
"31592","GGG","2014B",628227,"F","South Region","Lower Than A Level","40-50%","0-35",0,30,"N","Pass"
"16579","DDD","2014B",472257,"M","West Midlands Region","A Level or Equivalent","90-100%","0-35",1,150,"N","Pass"
"14173","DDD","2013B",560444,"M","London Region","HE Qualification","40-50%","35-55",0,90,"N","Pass"
"11428","CCC","2014J",572919,"F","East Midlands Region","No Formal quals","0-10%","0-35",0,60,"N","Pass"
"3124","BBB","2013J",514864,"F","West Midlands Region","Lower Than A Level","10-20","0-35",0,60,"N","Pass"
"13164","DDD","2013B",166713,"M","North Region","Lower Than A Level","30-40%","0-35",0,60,"N","Pass"
"23062","FFF","2013B",529030,"M","London Region","A Level or Equivalent","30-40%","0-35",1,120,"N","Pass"
"26801","FFF","2014B",598113,"M","Ireland","HE Qualification","","0-35",0,120,"N","Pass"
"21034","EEE","2014B",634309,"M","London Region","A Level or Equivalent","0-10%","0-35",0,30,"N","Pass"
"27451","FFF","2014B",632991,"M","Yorkshire Region","HE Qualification","10-20","0-35",0,60,"N","Pass"
"18516","DDD","2014J",645322,"F","East Anglian Region","A Level or Equivalent","80-90%","0-35",0,120,"N","Withdrawn"
"30219","GGG","2013J",531224,"F","South East Region","Lower Than A Level","60-70%","0-35",0,30,"N","Pass"
"14969","DDD","2013J",493876,"M","London Region","A Level or Equivalent","20-30%","0-35",0,90,"N","Withdrawn"
"12215","CCC","2014J",646077,"M","South West Region","A Level or Equivalent","0-10%","0-35",0,120,"Y","Withdrawn"
"3464","BBB","2013J",568523,"F","North Western Region","Lower Than A Level","10-20","0-35",0,60,"N","Withdrawn"
"25902","FFF","2013J",609097,"F","Scotland","HE Qualification","50-60%","0-35",0,60,"N","Pass"
"31317","GGG","2014B",613015,"F","South Region","A Level or Equivalent","90-100%","35-55",0,30,"N","Distinction"
"3949","BBB","2013J",591420,"F","Ireland","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass"
"12994","CCC","2014J",2361633,"M","North Western Region","A Level or Equivalent","0-10%","0-35",0,30,"N","Pass"
"27243","FFF","2014B",627247,"M","South West Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Distinction"
"7757","BBB","2014J",674777,"F","Scotland","Lower Than A Level","10-20","0-35",0,60,"N","Pass"
"28078","FFF","2014J",500618,"M","East Anglian Region","A Level or Equivalent","80-90%","0-35",0,120,"Y","Pass"
"2758","BBB","2013J",340965,"F","South East Region","HE Qualification","30-40%","0-35",0,60,"N","Pass"
"3833","BBB","2013J",586145,"F","East Midlands Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Fail"
"17096","DDD","2014B",622192,"F","Scotland","A Level or Equivalent","30-40%","0-35",0,60,"N","Distinction"
"26028","FFF","2013J",1983921,"M","North Western Region","A Level or Equivalent","60-70%","35-55",0,120,"N","Pass"
"12960","CCC","2014J",2142516,"F","Scotland","Lower Than A Level","10-20","35-55",0,30,"N","Pass"
"21754","EEE","2014J",651839,"M","North Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Withdrawn"
"10020","CCC","2014B",622804,"M","East Midlands Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Withdrawn"
"19885","EEE","2013J",577148,"M","London Region","A Level or Equivalent","0-10%","0-35",0,30,"N","Fail"
"3069","BBB","2013J",503804,"F","Ireland","Lower Than A Level","10-20","0-35",0,60,"N","Pass"
"10638","CCC","2014J",100788,"M","Scotland","HE Qualification","80-90%","0-35",1,60,"N","Distinction"
"11253","CCC","2014J",545118,"M","North Western Region","A Level or Equivalent","0-10%","0-35",0,90,"N","Fail"
"8720","CCC","2014B",131695,"F","East Midlands Region","Lower Than A Level","0-10%","0-35",0,120,"N","Withdrawn"
"20439","EEE","2014B",182400,"M","North Region","HE Qualification","","35-55",0,30,"N","Fail"
"14717","DDD","2013J",380138,"F","North Region","Lower Than A Level","50-60%","0-35",0,90,"N","Fail"
"26145","FFF","2013J",2555225,"M","Yorkshire Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass"
"30760","GGG","2013J",601125,"F","South East Region","A Level or Equivalent","70-80%","0-35",0,30,"N","Fail"
"30632","GGG","2013J",594188,"M","South West Region","A Level or Equivalent","40-50%","0-35",0,30,"N","Pass"
"14858","DDD","2013J",445930,"M","South West Region","A Level or Equivalent","60-70%","0-35",1,120,"N","Pass"
"16857","DDD","2014B",590410,"F","South West Region","A Level or Equivalent","30-40%","0-35",0,120,"Y","Withdrawn"
"14536","DDD","2013J",235777,"M","London Region","A Level or Equivalent","10-20","0-35",2,60,"N","Withdrawn"
"6098","BBB","2014B",632470,"F","South Region","Lower Than A Level","40-50%","0-35",0,60,"N","Fail"
"17533","DDD","2014B",2637219,"F","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Distinction"
